trait,bucket,avg_placement,variance,game_count
TFT17_DRX,Early,4.580152671755725,5.604804258001263,655
TFT17_DRX,Mid,4.608150470219436,5.620153245769005,638
TFT17_DRX,Late,4.537242472266244,5.585515558574203,631
TFT17_DarkStar,Early,4.191413237924865,4.800212873731252,559
TFT17_DarkStar,Mid,4.255281690140845,4.895915617159753,568
TFT17_DarkStar,Late,4.202146690518783,4.799565275934365,559
TFT17_FlexTrait,Early,4.312091503267974,4.722406747750929,612
TFT17_FlexTrait,Mid,4.225700164744646,4.679998477607242,607
TFT17_FlexTrait,Late,4.2896,4.891958974358975,625
TFT17_HPTank,Early,4.577151335311573,5.296416241550961,674
TFT17_HPTank,Mid,4.633281972265023,5.43321158857882,649
TFT17_HPTank,Late,4.553158705701079,5.102493865205731,649
TFT17_RhaastUniqueTrait,Early,4.052892561983471,5.480641453669742,605
TFT17_RhaastUniqueTrait,Mid,4.118589743589744,5.555737333827229,624
TFT17_RhaastUniqueTrait,Late,4.0814696485623,5.56615207667732,626
