match_id,patch,placement,level,last_round,gold_left,time_eliminated,traits,trait_tiers,augments,units
NA1_5570231498,Version.11,3,8,35,1,1952.032958984375,"TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_Mecha,TFT17_MorganaUniqueTrait,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove","TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_ManaTrait:1,TFT17_Mecha:1,TFT17_MorganaUniqueTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1",,"TFT17_Mordekaiser,TFT17_Rhaast,TFT17_Karma,TFT17_AurelionSol,TFT17_Galio,TFT17_Morgana,TFT17_Blitzcrank"
NA1_5570231498,Version.11,6,9,30,0,1663.4591064453125,"TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_GravesTrait,TFT17_HPTank,TFT17_MeleeTrait,TFT17_PsyOps,TFT17_TahmKenchUniqueTrait","TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_GravesTrait:1,TFT17_HPTank:2,TFT17_MeleeTrait:2,TFT17_PsyOps:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Akali,TFT17_Gragas,TFT17_Maokai,TFT17_Urgot,TFT17_MasterYi,TFT17_TahmKench,TFT17_TahmKench,TFT17_Fiora,TFT17_Graves"
NA1_5570231498,Version.11,1,9,37,3,2019.1923828125,"TFT17_BlitzcrankUniqueTrait,TFT17_DRX,TFT17_HPTank,TFT17_RangedTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_Stargazer_Medallion,TFT17_TahmKenchUniqueTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DRX:1,TFT17_HPTank:1,TFT17_RangedTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_Stargazer_Medallion:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Aatrox,TFT17_Maokai,TFT17_Rhaast,TFT17_Nunu,TFT17_Xayah,TFT17_Xayah,TFT17_TahmKench,TFT17_Blitzcrank,TFT17_Shen"
NA1_5570231498,Version.11,4,8,33,14,1834.0533447265625,"TFT17_ADMIN,TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_ADMIN:1,TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_ShieldTank:3,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_Leona,TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Karma,TFT17_Nunu,TFT17_Leblanc,TFT17_Blitzcrank,TFT17_Summon"
NA1_5570231498,Version.11,8,9,27,2,1536.033203125,"TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_MorganaUniqueTrait,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SonaUniqueTrait,TFT17_SummonTrait","TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_ManaTrait:1,TFT17_MorganaUniqueTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SonaUniqueTrait:1,TFT17_SummonTrait:1",,"TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Rhaast,TFT17_Karma,TFT17_Nunu,TFT17_Morgana,TFT17_Bard,TFT17_Sona,TFT17_Summon"
NA1_5570231498,Version.11,7,9,27,1,1522.26416015625,"TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_GravesTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_VexUniqueTrait","TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_GravesTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_VexUniqueTrait:1",,"TFT17_Aatrox,TFT17_Illaoi,TFT17_Maokai,TFT17_Rhaast,TFT17_Nunu,TFT17_Fiora,TFT17_Vex,TFT17_Shen,TFT17_Graves"
NA1_5570231498,Version.11,2,10,37,4,2015.7332763671875,"TFT17_APTrait,TFT17_AssassinTrait,TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_HPTank,TFT17_JhinUniqueTrait,TFT17_ManaTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_Timebreaker","TFT17_APTrait:1,TFT17_AssassinTrait:2,TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:3,TFT17_HPTank:1,TFT17_JhinUniqueTrait:1,TFT17_ManaTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_Timebreaker:1",,"TFT17_Chogath,TFT17_Lissandra,TFT17_Mordekaiser,TFT17_Pantheon,TFT17_Kaisa,TFT17_Karma,TFT17_Riven,TFT17_Bard,TFT17_Jhin,TFT17_Blitzcrank"
NA1_5570231498,Version.11,5,8,31,0,1725.7513427734375,"TFT17_BlitzcrankUniqueTrait,TFT17_FlexTrait,TFT17_MorganaUniqueTrait,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_SonaUniqueTrait,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_FlexTrait:1,TFT17_MorganaUniqueTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_SonaUniqueTrait:1,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_IvernMinion,TFT17_Rhaast,TFT17_Galio,TFT17_Leblanc,TFT17_Morgana,TFT17_Blitzcrank,TFT17_Sona,TFT17_Shen,TFT17_Summon"
NA1_5567002511,Version.10,7,9,27,0,1577.719970703125,"TFT17_BlitzcrankUniqueTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_MeleeTrait,TFT17_MorganaUniqueTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_VexUniqueTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_MeleeTrait:1,TFT17_MorganaUniqueTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_VexUniqueTrait:1",,"TFT17_Aatrox,TFT17_Akali,TFT17_Rhaast,TFT17_Nunu,TFT17_Morgana,TFT17_Fiora,TFT17_Blitzcrank,TFT17_Vex,TFT17_Shen"
NA1_5567002511,Version.10,2,10,35,3,2018.114013671875,"TFT17_BlitzcrankUniqueTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_GravesTrait,TFT17_JhinUniqueTrait,TFT17_MeleeTrait,TFT17_MorganaUniqueTrait,TFT17_ResistTank,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_VexUniqueTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_GravesTrait:1,TFT17_JhinUniqueTrait:1,TFT17_MeleeTrait:1,TFT17_MorganaUniqueTrait:1,TFT17_ResistTank:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_VexUniqueTrait:1",,"TFT17_Aatrox,TFT17_Akali,TFT17_Nunu,TFT17_Morgana,TFT17_Fiora,TFT17_Jhin,TFT17_Blitzcrank,TFT17_Vex,TFT17_Shen,TFT17_Graves"
